,아파트,금액(만원),면적,층,주소
0,코오롱하늘채2단지,71000,134.19,14,침산동 105-1
1,명성푸르지오,60000,140.71,10,침산동 269-10
2,오페라삼정그린코아더베스트,59900,84.97,26,칠성동2가 733
3,오페라삼정그린코아더베스트,55000,84.97,29,칠성동2가 733
4,복현자이,54000,84.99,11,복현동 703
5,침산화성파크드림,53000,98.0,12,침산동 1761
6,침산화성파크드림,52000,98.0,25,침산동 1761
7,한신더휴웨스턴팰리스,50500,101.88,13,매천동 750
8,연경대광로제비앙더퍼스트,50000,109.51,1,연경동 994
9,오페라삼정그린코아더베스트,50000,84.97,31,칠성동2가 733
10,오페라삼정그린코아더베스트,49500,84.97,21,칠성동2가 733
11,한신더휴웨스턴팰리스,48500,101.85,8,매천동 750
12,복현자이,46300,84.77,2,복현동 703
13,연경대광로제비앙더퍼스트,46000,109.51,13,연경동 994
14,침산화성파크드림,44000,84.96,25,침산동 1761
15,오페라트루엘시민의숲아파트,43500,84.72,7,고성동3가 145
16,침산화성파크드림,42600,84.97,35,침산동 1761
17,침산화성파크드림,42500,84.96,28,침산동 1761
18,연경금성백조예미지숲속의아침,42500,101.99,12,연경동 943
19,연경대광로제비앙더퍼스트,42000,109.51,4,연경동 994
20,오페라트루엘시민의숲아파트,41500,84.61,5,고성동3가 145
21,화성그랜드파크,41000,110.4,3,구암동 785
22,e편한세상복현,40631,74.99,5,복현동 713
23,e편한세상복현,40631,74.99,5,복현동 713
24,e편한세상복현,40631,74.99,5,복현동 713
25,e편한세상복현,40631,74.99,5,복현동 713
26,복현아이파크,40000,75.97,12,복현동 709
27,화성그랜드파크,39300,110.4,7,구암동 785
28,동서변월드메르디앙,39000,129.79,5,서변동 1795
29,복현아이파크,38900,75.97,2,복현동 709
30,침산동2차쌍용예가,38750,84.94,13,침산동 1750
31,침산동2차쌍용예가,38750,84.94,13,침산동 1750
32,힐스테이트데시앙도남3단지,38500,84.96,16,국우동 BL-3-3
33,e편한세상복현,38270,74.99,1,복현동 713
34,이진캐스빌,38000,84.87,10,태전동 1181
35,칠성동코오롱하늘채,37900,84.98,21,칠성동2가 723
36,칠성동코오롱하늘채,37800,84.98,23,칠성동2가 723
37,칠성동코오롱하늘채,37300,84.98,24,칠성동2가 723
38,화성그랜드파크,36000,84.99,11,구암동 785
39,오페라트루엘시민의숲아파트,36000,74.95,13,고성동3가 145
40,연경동화아이위시,35200,85.0,1,연경동 987
41,학정역효성해링턴플레이스,35000,84.8,16,읍내동 1449
42,침산화성파크드림,35000,59.98,31,침산동 1761
43,오페라트루엘시민의숲아파트,35000,59.69,11,고성동3가 145
44,학정역효성해링턴플레이스,35000,84.8,13,읍내동 1449
45,침산태왕리더스,34000,113.73,25,침산동 443-2
46,침산태왕리더스,34000,113.73,25,침산동 443-2
47,침산화성파크드림,33500,59.98,33,침산동 1761
48,대구노원한신더휴,33400,74.95,29,노원동3가 1227
49,화성파크드림와이드,33000,133.29,8,태전동 198
50,한신더휴웨스턴팰리스,33000,69.98,28,매천동 750
51,복현푸르지오,32300,85.0,3,복현동 694
52,복현푸르지오,32000,85.0,1,복현동 694
53,화성그랜드파크,32000,84.98,4,구암동 785
