,미소시티,66000,138.16,13,계산동2가 100
0,남산롯데캐슬센트럴스카이,64500,84.95,12,남산동 3020
1,대신센트럴자이,59000,96.48,25,대신동 2106
2,미소시티,56500,124.15,24,계산동2가 100
3,남산자이하늘채,54000,84.89,13,남산동 2951-1
4,미소시티,49000,118.42,5,계산동2가 100
5,삼덕청아람,48000,84.57,34,삼덕동3가 383
6,e편한세상대신,47000,84.98,29,대신동 2110
7,대신센트럴자이,45500,84.84,24,대신동 2106
8,e편한세상대신,45200,84.98,22,대신동 2110
9,대신센트럴자이,44700,84.84,23,대신동 2106
10,대구역센트럴자이,44500,84.64,19,수창동 173
11,대신센트럴자이,44500,84.84,24,대신동 2106
12,e편한세상대신,44500,84.98,22,대신동 2110
13,대구역센트럴자이,44500,84.64,25,수창동 173
14,삼덕청아람,44300,84.57,14,삼덕동3가 383
15,대구역센트럴자이,44000,84.64,31,수창동 173
16,대신센트럴자이,44000,84.84,26,대신동 2106
17,삼덕청아람,43900,84.61,24,삼덕동3가 383
18,대신센트럴자이,43500,84.84,22,대신동 2106
19,대구역센트럴자이,43300,84.64,32,수창동 173
20,대구역센트럴자이,43000,84.64,32,수창동 173
21,대구역센트럴자이,42500,84.47,22,수창동 173
22,대신센트럴자이,42200,84.84,10,대신동 2106
23,대구역센트럴자이,42000,84.47,24,수창동 173
24,e편한세상대신,41900,84.98,19,대신동 2110
25,대신센트럴자이,41700,84.84,6,대신동 2106
26,대구역센트럴자이,41470,84.64,8,수창동 173
27,남산역화성파크드림,41000,84.21,15,남산동 3012
28,대신센트럴자이,40500,84.92,11,대신동 2106
29,남산역화성파크드림,40200,84.67,5,남산동 3012
30,대신센트럴자이,40000,84.92,13,대신동 2106
31,대신센트럴자이,39500,84.92,8,대신동 2106
32,극동스타클래스남산,38800,84.98,24,남산동 3000
33,극동스타클래스남산,38600,84.83,17,남산동 3000
34,극동스타클래스남산,38500,84.98,24,남산동 3000
35,극동스타클래스남산,38000,84.98,10,남산동 3000
36,남산e편한세상,37500,59.99,17,남산동 150-2
37,대구역센트럴자이,37300,72.84,26,수창동 173
38,대구역센트럴자이,37200,72.84,22,수창동 173
39,남산e편한세상,37000,59.99,23,남산동 150-2
40,극동스타클래스남산,37000,84.63,17,남산동 3000
41,남산e편한세상,36600,59.99,20,남산동 150-2
42,남산e편한세상,36000,59.99,13,남산동 150-2
43,남산e편한세상,36000,59.99,13,남산동 150-2
44,남산e편한세상,36000,59.99,15,남산동 150-2
45,e편한세상대신,35500,59.98,7,대신동 2110
46,e편한세상대신,35000,59.98,15,대신동 2110
47,극동스타클래스남산,34500,78.5,16,남산동 3000
48,e편한세상대신,34000,59.98,13,대신동 2110
49,e편한세상대신,34000,59.98,9,대신동 2110
50,e편한세상대신,34000,59.98,7,대신동 2110
51,동인동삼정그린코아,33500,85.0,17,동인동4가 220
52,동인동삼정그린코아,33500,85.0,17,동인동4가 220
53,대신센트럴자이,33000,59.94,15,대신동 2106
54,e편한세상대신,32800,59.98,6,대신동 2110
55,대신센트럴자이,32500,59.94,7,대신동 2106
56,대신센트럴자이,32500,59.94,4,대신동 2106
57,청라센트럴파크,32000,76.99,17,남산동 2991
58,대신센트럴자이,32000,59.96,32,대신동 2106
59,대신센트럴자이,31700,59.96,28,대신동 2106
60,극동스타클래스남산,31500,59.52,22,남산동 3000
61,극동스타클래스남산,31000,59.87,6,남산동 3000
62,대신센트럴자이,30700,59.96,18,대신동 2106
63,남산역화성파크드림,30000,59.2,4,남산동 3012
64,극동스타클래스남산,30000,59.87,5,남산동 3000
65,대봉태왕아너스,30000,59.97,3,대봉동 758
66,남산역화성파크드림,30000,59.2,5,남산동 3012
67,보성황실타운,29800,84.98,15,남산동 2466-1
68,남산그린타운,25300,69.24,9,남산동 2937-1
69,보성황실타운,23500,59.96,14,남산동 2466-1
70,까치,15000,53.6,13,남산동 2482-1
71,남문시장2지구,13500,68.03,3,남산동 699-7
