년,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
2020,1,119389,120898,193324,209609,139227,385826,141510,124273,286301,164245,141687,116952,187005,110535,122445,432694,626224,278973,161113,151851,581411,107285,149039,68991,81958,104173,55679,141971,119484,74230,128261,167013,79462,71291,195224,175043,171549,164748,114973,236988,167992,209136,233962,133726,121433,140132,740376,214788,176916,232654,149254,112738,82380,17605,13960,76878,200797,120993,126310,86393,181658,36102,9089,141264,58579,116360,61110,67112,60366,45826,37249,34501,53557,78766,43635,110601,49223,197888,48671,88309,76840,38148,85560,84514,58339,35018,95415,73379,66766,120632,69568
2020,2,81946,80926,130928,141104,94832,251010,96474,87438,184438,104300,94099,80390,125749,76741,82846,269788,379981,167842,101018,103786,337050,76888,101410,48676,56905,71413,38533,98202,84996,53134,87479,112638,57136,50676,136279,123065,119636,119557,80394,158325,117025,142401,159509,96977,87784,90301,456809,150115,123330,160606,99649,75322,56404,12747,10437,52163,132907,81753,85725,57855,120921,25318,5984,95652,40463,80428,42254,46753,41502,31478,27061,27405,36499,54304,31998,78870,34393,112483,35165,61755,52798,26524,58396,59123,40122,23545,66812,48818,46401,83839,48537
2020,3,44688,41134,66332,74582,47668,121209,51409,49220,91716,31132,51801,42424,64117,41214,38806,112605,137968,86297,60824,53790,129142,43440,57106,29814,29667,40196,20904,55304,47421,29712,43776,57586,37401,29446,72116,80018,71594,72855,47898,81625,66212,84082,90400,59043,52994,50909,188206,81523,65442,83236,47286,35296,25258,6900,6424,26565,64380,38361,44143,29207,62886,15564,3525,48017,22338,47292,24216,26983,24920,18592,16848,17976,20945,34432,19799,46392,21251,57237,20792,34958,29859,14113,32821,31832,21075,14059,35517,35718,23588,47728,28697
2020,4,63528,62618,98571,106246,69767,183223,73692,67934,136765,46056,74472,58817,88080,55254,60277,183484,229212,135395,88494,76699,213969,58665,78113,39808,41678,54704,30194,74601,65558,40784,63062,84040,51957,39709,99239,100412,93790,93183,64719,116393,90118,114560,125946,77562,69492,80080,320266,115055,92401,119278,72449,52997,38424,10032,8813,38046,97352,56967,64525,43885,93100,21556,5335,70985,31623,66836,34060,37473,34744,27173,22068,21108,27607,47653,26137,63065,28357,109689,28951,48946,41491,20158,45970,44883,29984,19393,49919,48677,34336,67273,38627
2020,5,84823,83373,131533,141654,92254,251337,100777,87292,192862,63612,100021,78812,122945,76306,84647,262435,329448,184087,115961,102065,323329,76188,105021,50626,55278,71795,41208,97653,85985,53921,86469,114774,69707,51857,134600,123480,125635,114841,85715,155590,117425,149904,162069,98805,88727,113128,447847,149060,120734,154871,100007,75111,56483,13514,11370,51705,131529,76731,87678,59865,127999,26721,7761,98038,42743,87636,45567,49507,46344,35167,28521,24107,35157,60805,32917,83230,36919,184934,36557,68893,56983,29388,63356,60724,41992,25096,66804,60340,48311,90766,49171
2020,6,92581,92858,143283,155612,101610,271877,113863,94063,201461,68415,107658,84710,136183,88869,97873,277860,343463,190468,120209,116786,344218,83983,114890,55206,61840,77040,45476,106250,93721,58164,96815,133573,71646,57058,150606,143621,143677,126288,91716,174868,126600,165903,174400,107346,100157,118014,461218,166093,136997,175963,110410,81518,68797,15582,13043,57588,145745,86417,94651,66624,139220,29126,8552,105972,47177,94480,50631,52221,50757,36869,30285,27304,37006,64421,35456,91677,37414,181116,39928,83630,66682,31363,68632,66179,45508,26760,72111,59329,51880,97974,52316
2020,7,99347,99316,155390,170469,110489,299847,122294,101166,214575,71892,114400,90036,140666,95885,103501,312491,398313,199994,129350,123043,395721,88425,122076,57575,66308,81105,49032,115236,99304,62714,105494,140349,73923,61837,164350,147786,145691,135531,98502,189050,137999,175591,186356,113861,104471,119929,525821,183484,150413,190195,121176,90335,73436,16116,16009,63282,158052,95736,102513,72148,145880,31655,8287,116216,51333,100736,52357,55646,54870,37788,32613,30445,39687,66502,37368,97581,39888,174217,43021,89202,71236,33688,72057,69863,48926,28502,76748,63516,55789,103701,54820
2020,8,93072,91227,142387,154674,101420,275546,109758,94124,200746,65721,103147,80995,123247,85661,92876,298802,392971,190515,117733,109510,383887,79143,111278,51306,60624,74341,44818,108198,90906,57086,95735,125573,73459,54120,148664,132410,128394,120071,86897,171165,123581,156224,166916,102849,91885,103319,491241,158616,133307,167773,110314,82378,63093,13925,15927,55972,141631,86613,93297,66306,137534,28375,8021,107705,44980,92097,47639,51597,49214,34180,28902,27196,36059,62467,33779,86999,36225,152419,37623,77710,61654,29472,65351,63056,42837,26226,69903,56650,50456,95582,53245
2020,9,88117,92786,138603,151390,99908,264173,110031,91585,203747,65373,103436,80909,126386,83115,92125,257999,328365,191884,128749,107027,319004,79062,106571,51216,61138,73095,43391,102367,92408,56878,93006,131035,70205,56182,150099,138079,140099,120972,87750,167068,121829,161431,163887,104209,94178,115005,444684,158525,136858,167845,112006,83661,68435,14329,13225,55966,142598,85789,92485,66906,162623,26206,7484,105322,46113,92093,51177,53245,50713,36950,29144,30003,36612,67258,33874,87526,37947,158941,38856,79330,63864,29237,66949,64555,43134,26398,70110,57861,50172,94289,51381
2020,10,98932,101014,157694,166830,110536,297170,120792,99588,221661,71200,116454,89881,146936,94609,101813,297224,392940,203798,123956,121681,400820,87840,128187,59705,68147,81358,50161,115640,100046,64042,104036,160308,80066,61450,167914,153942,168702,135426,95874,186893,135475,173470,189936,112649,102801,122002,518651,176130,147805,181578,121618,91298,78108,16208,18262,63992,158889,95475,103683,77710,176679,29512,9065,116051,51930,101939,61640,59331,55519,39171,32223,33279,40429,66546,37143,97577,41591,172986,43922,89983,69836,32895,72678,69133,47329,29462,76897,69585,55717,103485,55917
