정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)주안2동치안센터,37302,6779,4811,6779,4811,0,386
(주)경동세라믹스,89146,663,31,663,31,0,23
(주)경인양행앞,42096,1239,856,1239,856,0,69
(주)경인양행앞,42097,1827,4329,1827,4329,0,205
(주)대한특수금속,39050,1306,80,1306,80,0,46
(주)두남,39135,203,49,203,49,0,8
(주)세모입구(린나이코리아),37585,1368,1853,1368,1853,0,107
(주)세모입구(린나이코리아),40893,473,823,473,823,0,43
(주)스킨이데아,89388,869,3124,869,3124,0,133
(주)스킨이데아,89389,3252,46,3252,46,0,109
(주)우리김치,39133,415,3253,415,3253,0,122
(주)우리김치,39134,2280,467,2280,467,0,91
(주)창원,39029,3579,2898,3579,2898,0,215
(주)창원,39030,3752,3937,3752,3937,0,256
(주)하나금속,39124,8,71,8,71,0,2
17사단.다임메가타운,40895,2110,4840,2110,4840,0,231
17사단입구,40832,7,510,6,510,1,17
2001아울렛,40154,3466,5446,3466,5446,0,297
2001아울렛,40159,31015,13063,31013,13063,2,1469
2001아울렛,40162,10355,20817,10350,20817,5,1039
2001아울렛부평점,40158,4264,4347,4264,4347,0,287
2차풍림아이원,42584,28,10970,28,10970,0,366
3단지,40736,206,1676,206,1676,0,62
3단지관리사무소,40107,1760,429,1760,429,0,72
41번구종점,42174,1761,5879,1761,5879,0,254
510번차고지,36145,957,620,957,620,0,52
540번종점,39470,3263,4039,3193,4039,70,243
6공단사거리,37577,275,2360,274,2360,1,87
6공단입구,37442,615,869,615,869,0,49
6공단입구,37443,954,1434,954,1434,0,79
8부두,35181,274,1660,274,1660,0,64
8부두,35182,1860,2644,1860,2644,0,150
BMX경기장,90459,0,5,0,5,0,0
BMX경기장,90477,0,16,0,16,0,0
CJ인천2공장,35591,418,3596,418,3596,0,133
CJ인천2공장,35592,2508,159,2508,159,0,88
E편한세상,42453,2605,1751,2605,1751,0,145
E편한세상,42649,1333,3567,1332,3567,1,163
E편한세상,42726,3846,1629,3844,1629,2,182
GM물류센터,40568,727,1320,727,1320,0,68
GS25편의점,36142,1095,2442,1081,2442,14,117
GS내리주유소,44130,2,0,2,0,0,0
GS내리주유소,44147,1,3,1,3,0,0
GS칼텍스,35168,553,40,552,40,1,19
GS칼텍스,35557,12,2283,12,2283,0,76
GS칼텍스,89220,113,586,113,586,0,23
GS칼텍스,89224,325,1908,325,1908,0,74
GS칼텍스주유소,39814,259,11,259,11,0,9
HD현대인프라코어,36081,783,1593,783,1593,0,79
HD현대인프라코어,36083,2322,886,2322,886,0,106
HD현대인프라코어후문,36077,7,790,7,790,0,26
HD현대인프라코어후문,36078,3551,597,3551,597,0,138
JC회관,37383,3589,3971,3589,3971,0,252
JST기술연구소,89491,3,2027,2,2027,1,67
JST기술연구소,89492,791,49,788,49,3,28
KCC아파트,42391,2021,1561,2021,1561,0,119
KG모빌리티인천서비스센터,36144,70,1238,70,1238,0,43
KG스틸,42008,2413,4129,2410,4129,3,218
KTX광명역4번출구,58057,1525,20,1525,20,0,51
KT부평지사,40381,10103,6973,10093,6973,10,569
KT부평지사,40384,7469,12847,7464,12847,5,677
KT서인천지사,42932,1586,2551,1586,2551,0,137
KT서인천지사,42933,1864,969,1864,969,0,94
